epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7181,1.00111,2.72144,1.49855,0.00369,1,0.42325,0.18323,1.42745,3.76723,2.02085,0.000540231,0.000540231,0.000540231
2,67.6264,0.90119,1.92465,1.45681,0.6175,0.35,0.12072,0.04127,2.50136,3.94535,4.31062,0.00108505,0.00108505,0.00108505
3,97.9197,0.90843,1.77849,1.4438,0.82697,0.3,0.39593,0.17025,1.98933,3.96665,3.02577,0.00161886,0.00161886,0.00161886
4,127.24,0.94104,1.74542,1.47593,0.24451,0.38333,0.21733,0.09286,2.19553,3.59323,2.94934,0.00161749,0.00161749,0.00161749
5,154.766,0.90358,1.68533,1.46356,0.61861,0.2,0.09377,0.03308,2.20282,3.73764,2.65819,0.00160099,0.00160099,0.00160099
6,185.755,0.93961,1.71086,1.46986,0.72057,0.25,0.26483,0.11125,1.96239,3.60409,2.58962,0.00158448,0.00158448,0.00158448
7,215.387,0.89468,1.6531,1.4628,0.8401,0.45,0.55366,0.28657,1.42197,3.48351,2.17668,0.00156798,0.00156798,0.00156798
8,245.148,0.84923,1.53689,1.41484,0.53016,0.60833,0.54813,0.29843,1.20512,2.70848,1.90312,0.00155148,0.00155148,0.00155148
9,276.901,0.83479,1.43229,1.39715,0.49198,0.58333,0.58469,0.50274,1.01962,2.04395,1.59403,0.00153497,0.00153497,0.00153497
10,305.2,0.8428,1.45133,1.40102,0.80001,0.4,0.38846,0.3388,1.12056,3.09912,1.92588,0.00151847,0.00151847,0.00151847
11,334.019,0.81274,1.42329,1.37779,0.37381,0.625,0.55591,0.39759,1.22782,2.08365,1.63802,0.00150197,0.00150197,0.00150197
12,363.617,0.79545,1.38314,1.38652,0.20015,0.65833,0.33018,0.14446,2.11144,3.18256,2.44614,0.00148546,0.00148546,0.00148546
13,394.338,0.74682,1.32005,1.34788,0.93669,0.34544,0.44285,0.39945,1.32661,2.74261,1.67467,0.00146896,0.00146896,0.00146896
14,421.97,0.80964,1.39778,1.38854,0.73867,0.25,0.21573,0.17152,1.74767,2.8383,2.12603,0.00145246,0.00145246,0.00145246
