epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3345,1.59465,4.1532,1.74325,0.87306,0.07747,0.11622,0.07559,1.61938,3.37208,1.63435,0.000127315,0.000127315,0.000127315
2,66.8563,1.57584,3.25451,1.72359,0.74454,0.24539,0.26403,0.16891,1.67549,2.92511,1.80914,0.000253117,0.000253117,0.000253117
3,99.1345,1.57304,2.77289,1.71571,0.73693,0.25723,0.25919,0.15466,1.67789,2.90992,1.79523,0.000376379,0.000376379,0.000376379
4,130.595,1.55172,2.57277,1.7145,0.56486,0.33517,0.33216,0.21916,1.58341,2.51801,1.68028,0.000373565,0.000373565,0.000373565
5,164.044,1.49164,2.36728,1.6685,0.68166,0.31392,0.3544,0.2371,1.49681,2.37729,1.68972,0.000369754,0.000369754,0.000369754
6,197.938,1.43585,2.193,1.61509,0.65203,0.39326,0.38299,0.26705,1.51914,2.19445,1.66726,0.000365942,0.000365942,0.000365942
7,231.735,1.41809,2.07494,1.59509,0.58105,0.39089,0.37622,0.26431,1.43696,2.15593,1.63401,0.000362131,0.000362131,0.000362131
8,264.063,1.39306,2.01021,1.58459,0.66842,0.37304,0.39222,0.27301,1.42747,2.11732,1.58065,0.000358319,0.000358319,0.000358319
9,296.052,1.37283,1.93439,1.55319,0.61057,0.39786,0.40348,0.25523,1.46672,2.01334,1.64381,0.000354508,0.000354508,0.000354508
10,329.672,1.34814,1.86492,1.53405,0.5453,0.38967,0.39251,0.2735,1.42022,1.92831,1.59771,0.000350697,0.000350697,0.000350697
11,361.23,1.31029,1.79765,1.51744,0.66195,0.42484,0.42846,0.29648,1.41825,1.90943,1.58955,0.000346885,0.000346885,0.000346885
12,392.486,1.30384,1.74591,1.52456,0.62859,0.40347,0.42035,0.2915,1.40491,1.82383,1.56094,0.000343074,0.000343074,0.000343074
13,423.615,1.3052,1.70681,1.49581,0.70084,0.36277,0.41695,0.30094,1.42423,1.92042,1.5862,0.000339262,0.000339262,0.000339262
14,455.786,1.26874,1.67686,1.47837,0.64907,0.43527,0.45348,0.29551,1.4319,1.79972,1.61387,0.00033545,0.00033545,0.00033545
15,489.044,1.25145,1.59359,1.45312,0.57262,0.45659,0.42809,0.28903,1.37668,1.70122,1.56142,0.000331639,0.000331639,0.000331639
16,522.27,1.24288,1.57126,1.45593,0.56023,0.45921,0.4527,0.31329,1.4008,1.65433,1.5668,0.000327827,0.000327827,0.000327827
17,555.554,1.22295,1.52862,1.44331,0.65908,0.42032,0.46059,0.3148,1.40864,1.63712,1.58017,0.000324016,0.000324016,0.000324016
18,588.835,1.22639,1.51256,1.43423,0.61966,0.45328,0.46966,0.31816,1.41922,1.59612,1.59085,0.000320204,0.000320204,0.000320204
19,621.923,1.20775,1.45127,1.41875,0.64734,0.4346,0.45766,0.32057,1.38149,1.66965,1.56968,0.000316393,0.000316393,0.000316393
20,655.097,1.18343,1.42893,1.39985,0.60285,0.45647,0.4699,0.31971,1.42439,1.62953,1.56148,0.000312581,0.000312581,0.000312581
21,688.151,1.17889,1.39294,1.39813,0.57997,0.45318,0.44803,0.30941,1.41791,1.6944,1.59643,0.00030877,0.00030877,0.00030877
22,721.303,1.184,1.39069,1.40597,0.42676,0.51217,0.46021,0.32607,1.36789,1.64908,1.52848,0.000304958,0.000304958,0.000304958
23,754.501,1.18139,1.35875,1.40224,0.61873,0.44082,0.46403,0.31268,1.43385,1.62855,1.58273,0.000301147,0.000301147,0.000301147
24,787.541,1.15382,1.32937,1.3787,0.59798,0.48002,0.48251,0.33875,1.37107,1.56735,1.53343,0.000297335,0.000297335,0.000297335
25,820.748,1.14454,1.31198,1.3697,0.44746,0.47743,0.45718,0.32238,1.37152,1.64016,1.55691,0.000293524,0.000293524,0.000293524
26,853.802,1.14214,1.29616,1.37608,0.61271,0.45791,0.45357,0.31681,1.38004,1.60104,1.54504,0.000289712,0.000289712,0.000289712
